Description	Assays	Comment	Source
Indeterminate – low DNA/RNA yield, insufficient tissue	RNA/DNA	The results are indeterminate with low overall sequencing read depth due to a low DNA/RNA yield resulting from insufficient tissue. Therefore, a definitive assessment of the targeted gene regions cannot be performed.	MM - Excelsior
Indeterminate – low DNA yield, insufficient tissue	somatic	The results are indeterminate with low overall sequencing read depth due to a low DNA yield resulting from insufficient tissue. Therefore, a definitive assessment of the targeted gene regions cannot be performed.	MM - Excelsior
Indeterminate – low read depth from decalcification	somatic	The results are indeterminate due to low overall sequencing read depth. Therefore, a definitive assessment of the targeted gene regions cannot be performed. Indeterminate results are likely due to destruction of DNA from decalcification.	MM - Excelsior
RNA portion not performed – DNA-only sample	RNA/DNA	Note: Because only previously extracted DNA was received, the RNA (gene fusion) portion of this assay was not performed. Therefore, the targeted gene fusions described within the methodology cannot be detected in this sample.	MM - Excelsior
RNA portion not performed – DNA-only extraction	RNA/DNA	Note: Only DNA could be extracted from the submitted sample. Therefore, the RNA (gene fusion) portion of this assay was not performed and, the targeted gene fusions described within the methodology cannot be detected in this sample.	MM - Excelsior
DNA portion not performed – RNA-only sample	RNA/DNA	Note: Because only previously extracted RNA was received, the DNA portion of this assay was not performed. Therefore, the mutations and copy number variants described within the methodology cannot be detected in this sample.	MM - Excelsior
Potential false-negative – low/uncertain tumor content	somatic	The percentage of neoplastic cells in the submitted sample is uncertain. This assay may fail to detect molecular alterations present at a level below the limit of detection of this assay due to a low percentage of neoplastic cells.	MM - Excelsior
RNA assay failed – insufficient RNA (consider FISH)	RNA/DNA	The RNA (gene fusion) portion of this assay failed due to lack of extractable RNA within the sample. Therefore, the targeted gene fusions cannot be reliably detected by this assay. Evaluation using FISH studies for ALK, ROS1 and RET is recommended. MM - Excelsior
RNA assay failed – insufficient RNA	RNA/DNA	The RNA (gene fusion) portion of this assay failed due to lack of extractable RNA within the sample. Therefore, the targeted gene fusions cannot be reliably detected by this assay. MM - Excelsior
Potential false-negative – uncertain tumor cellularity	somatic	Note: The neoplastic cellularity (if any) in this sample is uncertain. Therefore, the presence of a variant below the limit of detection of this assay (10% neoplastic cells) cannot be excluded	MM - Excelsior
RNA assay failed after multiple attempts (consider FISH)	RNA/DNA	The RNA (gene fusion) portion of this assay failed after multiple attempts. Therefore, the gene fusions targeted by this assay cannot be reliably detected by this assay. Evaluation using FISH studies for ALK, ROS1 and RET is recommended. MM - Excelsior
Indeterminate – low read depth from very low cellularity	somatic	The results are indeterminate with low overall sequencing read depth, likely due to the extremely low neoplastic cellularity within the submitted cell block. Therefore, a definitive assessment of the targeted gene regions cannot be performed. Testing of a Diff Quik or Papanicolaou stained aspirate smear from this case or other alternative specimen (if available) is recommended.	MM - Excelsior
Depth of coverage	any	A minimal depth of coverage of >250 reads per amplicon or target is strongly recommended for reliable somatic variant detection in clinical NGS panels.	AMP NGS Validation Guidelines
Specimen acceptability	any	Laboratory must reject non-validated specimen types; tumor tissue should be reviewed by a board-certified pathologist for suitability and selection of macro-/microdissection areas prior to testing.	AMP NGS Validation Guidelines
No-template control	any	Include an NTC in every run to verify absence of reagent or carry-over contamination; the control need not be taken through full sequencing.	AMP NGS Validation Guidelines
Library complexity	any	Evaluate library complexity during optimization/validation using DNA-input dilution series or unique molecular identifiers, at the director’s discretion.	AMP NGS Validation Guidelines
Nucleic acid QC	any	Monitor DNA/RNA quality and quantity with fluorometric quantitation methods rather than spectrophotometry to ensure accurate input for NGS.	AMP NGS Validation Guidelines
Library qualification	any	Perform library qualification and fragment-size analysis; standardize protocols to minimize adapter or primer dimers before sequencing begins.	AMP NGS Validation Guidelines
Limit of detection	any	Establish the lower limit of detection for each variant type using ≥59 samples, or supplement with synthetic sensitivity controls when clinical material is limited.	AMP NGS Validation Guidelines
Variance assessment	any	Test a minimum of three samples spanning all instruments, personnel and reagent lots to quantify variance across the full NGS workflow.	AMP NGS Validation Guidelines
Technical Comments for Molecular Assay Reports
