Unnamed: 0	# samples with 3D cluster mutations	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Data available under ODC Open Database License (ODbL)
Gene	Cluster-exclusive	Hotspot-linked	Hotspot	All	% samples	
TP53	57	167	1690	1914	0.1721	
KRAS	0	22	907	929	0.08360000000000001	
BRAF	0	16	643	659	0.059300000000000005	
PIK3CA	0	26	376	402	0.0362	
NRAS	0	5	288	293	0.0264	
PTEN	27	104	79	210	0.0189	
FBXW7	0	7	121	128	0.0115	
EGFR	2	30	73	105	0.0094	
SMAD4	22	19	60	101	0.0091	
HRAS	0	5	90	95	0.0085	
PPP2R1A	15	24	32	71	0.0064	
SPOP	0	17	39	56	0.005	
PTPN11	0	33	21	54	0.0049	
VHL	28	19	6	53	0.0048000000000000004	
NFE2L2	0	2	48	50	0.0045000000000000005	
RAC1	0	13	29	42	0.0038	
RHOA	6	17	18	41	0.0037	
PIK3R1	8	20	11	39	0.0035	
EP300	0	18	21	39	0.0035	
KEAP1	37	0	0	37	0.0033	
SLIT2	33	0	0	33	0.003	
FGFR3	0	3	27	30	0.0027	
ZNF98	28	0	0	28	0.0025	
NOTCH1	28	0	0	28	0.0025	
C3	27	0	0	27	0.0024000000000000002	
PTPRD	26	0	0	26	0.0023	
KDR	26	0	0	26	0.0023	
MTOR	12	9	5	26	0.0023	
MAP2K1	0	9	16	25	0.0022	
CFH	24	0	0	24	0.0022	
MAPK1	0	9	15	24	0.0022	
KMT2C	23	0	0	23	0.0021000000000000003	
SETD2	23	0	0	23	0.0021000000000000003	
RQCD1	0	3	20	23	0.0021000000000000003	
SERPINB3	21	0	0	21	0.0019	
ITGA4	20	0	0	20	0.0018000000000000002	
PCDHA4	20	0	0	20	0.0018000000000000002	
THBS2	19	0	0	19	0.0017000000000000001	
CDH1	19	0	0	19	0.0017000000000000001	
EEF1A1	19	0	0	19	0.0017000000000000001	
RXRA	0	5	14	19	0.0017000000000000001	
NONO	18	0	0	18	0.0016	
RB1	18	0	0	18	0.0016	
CARM1	18	0	0	18	0.0016	
CDK4	0	3	15	18	0.0016	
MNDA	17	0	0	17	0.0015	
EPHB1	17	0	0	17	0.0015	
PCBP1	0	13	4	17	0.0015	
PCDHB13	16	0	0	16	0.0014	
HIST1H2BD	16	0	0	16	0.0014	
ABCB1	16	0	0	16	0.0014	
RBBP7	15	0	0	15	0.0013000000000000002	
TMPRSS11E	15	0	0	15	0.0013000000000000002	
ITGB1	15	0	0	15	0.0013000000000000002	
ACVR1B	15	0	0	15	0.0013000000000000002	
JPH2	15	0	0	15	0.0013000000000000002	
TNR	15	0	0	15	0.0013000000000000002	
DDX3X	15	0	0	15	0.0013000000000000002	
DPP6	14	0	0	14	0.0013000000000000002	
PCDHB8	14	0	0	14	0.0013000000000000002	
CBL	14	0	0	14	0.0013000000000000002	
NCF1	14	0	0	14	0.0013000000000000002	
FHL5	14	0	0	14	0.0013000000000000002	
PTPRF	14	0	0	14	0.0013000000000000002	
CCND1	0	8	6	14	0.0013000000000000002	
PBRM1	13	0	0	13	0.0012000000000000001	
ITGA1	13	0	0	13	0.0012000000000000001	
FLNA	13	0	0	13	0.0012000000000000001	
DPYSL3	13	0	0	13	0.0012000000000000001	
KPNB1	13	0	0	13	0.0012000000000000001	
CREBBP	13	0	0	13	0.0012000000000000001	
LRRC3B	13	0	0	13	0.0012000000000000001	
PLEKHA6	13	0	0	13	0.0012000000000000001	
STK24	13	0	0	13	0.0012000000000000001	
ANKLE2	13	0	0	13	0.0012000000000000001	
RYR2	13	0	0	13	0.0012000000000000001	
INHBA	13	0	0	13	0.0012000000000000001	
MDGA2	12	0	0	12	0.0011	
RORC	12	0	0	12	0.0011	
ESYT2	12	0	0	12	0.0011	
TUBA3D	12	0	0	12	0.0011	
ZNF443	12	0	0	12	0.0011	
HGFAC	12	0	0	12	0.0011	
CD300C	12	0	0	12	0.0011	
PTPRR	12	0	0	12	0.0011	
ITGAM	12	0	0	12	0.0011	
ZIC1	12	0	0	12	0.0011	
DNAJC6	12	0	0	12	0.0011	
SOX6	12	0	0	12	0.0011	
MKX	12	0	0	12	0.0011	
EIF1AX	12	0	0	12	0.0011	
ATP1A2	12	0	0	12	0.0011	
HIST1H3C	0	7	5	12	0.0011	
WDR75	11	0	0	11	0.001	
KCNH5	11	0	0	11	0.001	
KLHL3	11	0	0	11	0.001	
CLTC	11	0	0	11	0.001	
ANK1	11	0	0	11	0.001	
TRPV1	11	0	0	11	0.001	
HIST1H2BC	11	0	0	11	0.001	
IQUB	11	0	0	11	0.001	
CCL7	11	0	0	11	0.001	
COLEC11	11	0	0	11	0.001	
CTSL	11	0	0	11	0.001	
CHN2	11	0	0	11	0.001	
UNC5C	11	0	0	11	0.001	
AOC1	11	0	0	11	0.001	
POTEE	11	0	0	11	0.001	
TTK	11	0	0	11	0.001	
DCN	11	0	0	11	0.001	
TRIM9	11	0	0	11	0.001	
TOX	11	0	0	11	0.001	
MAP1B	11	0	0	11	0.001	
DLC1	11	0	0	11	0.001	
IL18R1	11	0	0	11	0.001	
GGA2	11	0	0	11	0.001	
HIST1H2BI	11	0	0	11	0.001	
PARP1	10	0	0	10	0.0009000000000000001	
ACACA	10	0	0	10	0.0009000000000000001	
HIST1H4L	10	0	0	10	0.0009000000000000001	
TGFBI	10	0	0	10	0.0009000000000000001	
