Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A6-2686-01A-01D-1406-01	1	3218610	5782169	1726	-0.0445
TCGA-A6-2686-01A-01D-1406-01	1	5782721	5782769	2	-1.9797
TCGA-A6-2686-01A-01D-1406-01	1	5785135	22937448	9007	-0.0576
TCGA-A6-2686-01A-01D-1406-01	1	22946547	22949163	3	-1.3867
TCGA-A6-2686-01A-01D-1406-01	1	22952061	49271430	13682	-0.063
TCGA-A6-2686-01A-01D-1406-01	1	49273578	49463801	143	-0.9922
TCGA-A6-2686-01A-01D-1406-01	1	49464576	70994100	13863	-0.035
TCGA-A6-2686-01A-01D-1406-01	1	70994202	71001138	5	-1.3331
TCGA-A6-2686-01A-01D-1406-01	1	71002192	119235437	28569	-0.0513
TCGA-A6-2686-01A-01D-1406-01	1	119256638	120308975	642	-0.9151
TCGA-A6-2686-01A-01D-1406-01	1	120331255	186409592	22792	-0.063
TCGA-A6-2686-01A-01D-1406-01	1	186411579	186590590	75	0.2099
TCGA-A6-2686-01A-01D-1406-01	1	186593131	227035319	25279	-0.0533
TCGA-A6-2686-01A-01D-1406-01	1	227037137	227042448	2	-1.5905
TCGA-A6-2686-01A-01D-1406-01	1	227046154	234716135	5129	-0.0507
TCGA-A6-2686-01A-01D-1406-01	1	234716712	235243264	316	0.2702
TCGA-A6-2686-01A-01D-1406-01	1	235243587	247813706	7868	-0.0717
TCGA-A6-2686-01A-01D-1406-01	2	484222	8291039	4585	0.3934
TCGA-A6-2686-01A-01D-1406-01	2	8293964	8294778	2	-1.5348
TCGA-A6-2686-01A-01D-1406-01	2	8295279	22911727	9711	0.3993
TCGA-A6-2686-01A-01D-1406-01	2	22912502	22913074	3	-1.9557
TCGA-A6-2686-01A-01D-1406-01	2	22920586	34136108	5948	0.1955
TCGA-A6-2686-01A-01D-1406-01	2	34136251	34136723	3	-1.4089
TCGA-A6-2686-01A-01D-1406-01	2	34137242	84193095	28112	0.2081
TCGA-A6-2686-01A-01D-1406-01	2	84193783	84203215	15	0.7766
TCGA-A6-2686-01A-01D-1406-01	2	84203524	115082201	11618	0.2022
TCGA-A6-2686-01A-01D-1406-01	2	115083030	115083212	2	-1.5989
TCGA-A6-2686-01A-01D-1406-01	2	115086679	133494705	8713	0.1951
TCGA-A6-2686-01A-01D-1406-01	2	133497341	144783214	6543	-0.0632
TCGA-A6-2686-01A-01D-1406-01	2	144788522	144912781	57	-0.4042
TCGA-A6-2686-01A-01D-1406-01	2	144915111	159227198	8053	-0.0214
TCGA-A6-2686-01A-01D-1406-01	2	159228451	159300803	40	0.2823
TCGA-A6-2686-01A-01D-1406-01	2	159304139	193538242	19519	-0.0879
TCGA-A6-2686-01A-01D-1406-01	2	193538820	193694605	83	-0.4959
TCGA-A6-2686-01A-01D-1406-01	2	193694766	194176541	117	-0.1014
TCGA-A6-2686-01A-01D-1406-01	2	194182316	202538097	4157	-0.402
TCGA-A6-2686-01A-01D-1406-01	2	202539092	202745183	127	-0.0303
TCGA-A6-2686-01A-01D-1406-01	2	202747264	202820707	44	-0.3723
TCGA-A6-2686-01A-01D-1406-01	2	202821228	203245677	235	-0.0455
TCGA-A6-2686-01A-01D-1406-01	2	203246257	237451035	20629	-0.4257
TCGA-A6-2686-01A-01D-1406-01	2	237453806	242476062	2933	-0.1062
TCGA-A6-2686-01A-01D-1406-01	3	2212571	20480994	10865	-0.0808
TCGA-A6-2686-01A-01D-1406-01	3	20487790	68535069	27976	-0.4253
TCGA-A6-2686-01A-01D-1406-01	3	68537071	90485962	12049	-0.0838
TCGA-A6-2686-01A-01D-1406-01	3	93734671	114274741	11191	0.2115
TCGA-A6-2686-01A-01D-1406-01	3	114277580	114315246	25	-0.434
TCGA-A6-2686-01A-01D-1406-01	3	114317774	194089976	43291	0.2087
TCGA-A6-2686-01A-01D-1406-01	3	194093999	194094110	2	-1.183
TCGA-A6-2686-01A-01D-1406-01	3	194094700	197538677	959	0.1941
TCGA-A6-2686-01A-01D-1406-01	4	1053934	4406259	1294	-0.4565
TCGA-A6-2686-01A-01D-1406-01	4	4406263	4406716	2	-2.4324
TCGA-A6-2686-01A-01D-1406-01	4	4407217	5650900	943	-0.4411
TCGA-A6-2686-01A-01D-1406-01	4	5652712	6367119	562	-0.9806
TCGA-A6-2686-01A-01D-1406-01	4	6367169	6369352	2	-3.7572
TCGA-A6-2686-01A-01D-1406-01	4	6369384	9766749	1523	-1.004
TCGA-A6-2686-01A-01D-1406-01	4	9767180	12943753	2416	-0.3969
TCGA-A6-2686-01A-01D-1406-01	4	12944788	12945048	3	-2.4579
TCGA-A6-2686-01A-01D-1406-01	4	12946667	41417193	18035	-0.442
TCGA-A6-2686-01A-01D-1406-01	4	41418726	41418920	2	-2.2766
TCGA-A6-2686-01A-01D-1406-01	4	41419248	45203602	1893	-0.4153
